,ID,Mesto,Okres,Druh,Stav,Ulica,Vytah,Ener_cert,Uzit_plocha,Latitude,Longitude,Cena,Rok_vystavby,Podlazie,Pocet_nadzem_podlazi,Lodzia,Balkon,Garazove_statie,Kurenie,Garaz
1575,nehnutelnosti.sk_4218967,Bratislava IV - Devinska Nova Ves,okres Bratislava,Garsonka,Čiastočná rekonštrukcia,Jana Jonasa,,,28,48.2243484,16.9891275,63000,,5,7,,,,Ustredne,
1576,nehnutelnosti.sk_4209887,Bratislava IV - Devinska Nova Ves,okres Bratislava,3 izbovy byt,Kompletná rekonštrukcia,Jana Smreka,,B,66,48.2112254,16.9734722,149000,,4,12,,,,,
1577,nehnutelnosti.sk_4199500,Bratislava V - Petrzalka,okres Bratislava,4 izbovy byt,Kompletná rekonštrukcia,Mamateyova,,,80,48.1219533,17.129756,200000,,3,4,Ano,,,Ustredne,
1578,nehnutelnosti.sk_4166213,Bratislava II - Ruzinov,okres Bratislava,2 izbovy byt,Čiastočná rekonštrukcia,Stefunkova,Ano,,62,48.1562711,17.1708379,165000,,7,7,,,,,
1579,nehnutelnosti.sk_4128277,Bratislava II - Ruzinov,okres Bratislava,3 izbovy byt,Kompletná rekonštrukcia,Mesacna,Ano,,81,48.1633241,17.1659958,225000,,4,7,Ano,,,,
1580,nehnutelnosti.sk_4167096,Bratislava II - Vrakuna,okres Bratislava,2 izbovy byt,Čiastočná rekonštrukcia,,,,38,48.1421623,17.2129002,59990,,,,,,,,
1581,nehnutelnosti.sk_4199486,Bratislava II - Ruzinov,okres Bratislava,3 izbovy byt,Pôvodný stav,Sklenarova,Ano,,83,48.1503468,17.1459938,205000,,4,7,,Ano,,,
1582,nehnutelnosti.sk_3998577,Bratislava V - Petrzalka,okres Bratislava,2 izbovy byt,Novostavba,Namestie Hraniciarov,Ano,,81,48.1224336,17.1164016,225000,2008,11,19,,,,,
1583,nehnutelnosti.sk_4060987,Bratislava IV - Dubravka,okres Bratislava,5 a viac izbovy byt,Novostavba,Saratovska,Ano,,167,48.1959287,17.0338749,440000,2006,9,13,,,,,
1584,nehnutelnosti.sk_4055499,Bratislava II - Ruzinov,okres Bratislava,4 izbovy byt,Novostavba,Drienova,Ano,,155,48.1608728,17.1576312,530000,2006,7,7,,,,,
1585,nehnutelnosti.sk_4192418,Bratislava IV - Dubravka,okres Bratislava,2 izbovy byt,Čiastočná rekonštrukcia,Kpt. Rasu,Ano,,53,48.1886172,17.0398799,135000,,8,8,,,,,
